"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/dom/Desktop/BCU-Connect/client/src/pages/login/Login.jsx", "JavaScript", 138, 0, 0, 0, 0, 0, 8, 146
"/Users/dom/Desktop/BCU-Connect/client/src/pages/login/login.css", "CSS", 0, 80, 0, 0, 0, 0, 12, 92
"/Users/dom/Desktop/BCU-Connect/client/src/pages/messenger/Messenger.js", "JavaScript", 110, 0, 0, 0, 0, 0, 7, 117
"/Users/dom/Desktop/BCU-Connect/client/src/pages/messenger/messenger.css", "CSS", 0, 63, 0, 0, 0, 0, 4, 67
"/Users/dom/Desktop/BCU-Connect/client/src/pages/profile/Profile.jsx", "JavaScript", 50, 0, 0, 0, 0, 7, 4, 61
"/Users/dom/Desktop/BCU-Connect/client/src/pages/profile/profile.css", "CSS", 0, 45, 0, 0, 0, 0, 10, 55
"/Users/dom/Desktop/BCU-Connect/client/src/pages/register/Register copy.jsx", "JavaScript", 77, 0, 0, 0, 0, 0, 4, 81
"/Users/dom/Desktop/BCU-Connect/client/src/pages/register/Register.jsx", "JavaScript", 178, 0, 0, 0, 0, 48, 11, 237
"/Users/dom/Desktop/BCU-Connect/client/src/pages/register/register.css", "CSS", 0, 74, 0, 0, 0, 0, 10, 84
"Total", "-", 1920, 773, 39316, 38, 21, 158, 321, 42547
